"","u","s","m","l","lum"
"M1_BF_BRIG_067_K176630_P1",0.073485984569924,0.258459968340461,0.297746736492221,0.370307310597393,0.0192213912811672
"M1_BF_BRIG_067_K176630_P2",0.0578468870317027,0.135231546091614,0.347387185164707,0.459534381711976,0.0142986399793609
"M1_BF_BRIG_067_K176630_P3",0.0572939221638468,0.162074235879699,0.335924090455012,0.444707751501442,0.013548504896444
"M1_BF_BRIG_067_K176630_P4",0.0814948961968777,0.177979472654007,0.32233579382797,0.418189837321145,0.00630116602885515
"M1_BF_BRIG_067_K176631_P1",0.0775463818493992,0.257862680403893,0.295987822431092,0.368603115315616,0.0160752922936012
"M1_BF_BRIG_067_K176631_P2",0.0534290141093678,0.140500661505584,0.338027529124801,0.468042795260248,0.0148858232072254
"M1_BF_BRIG_067_K176631_P3",0.0557590348958067,0.125670027042086,0.351421420013057,0.467149518049051,0.0192735506375905
"M1_BF_BRIG_067_K176631_P4",0.0750087886490782,0.203879284441078,0.309657202271598,0.411454724638246,0.0094891852923667
"M1_BF_BRIG_067_K176632_P1",0.0804017751524402,0.266796892706896,0.292388922343771,0.360412409796893,0.0137600341132678
"M1_BF_BRIG_067_K176632_P2",0.0571074692192562,0.147813981315125,0.339376655917276,0.455701893548343,0.0175272135081512
"M1_BF_BRIG_067_K176632_P3",0.056408992350423,0.132411615309472,0.352366831016178,0.458812561323927,0.0181127504464833
"M1_BF_BRIG_067_K176632_P4",0.0758410820655279,0.198278227690823,0.313592855975672,0.412287834267977,0.00700294658153856
"M1_BF_BRIG_067_K176633_P1",0.0771518874238872,0.254072215107041,0.300149581908432,0.36862631556064,0.0135954534263048
"M1_BF_BRIG_067_K176633_P2",0.05948403515637,0.153215354166178,0.330072395050029,0.457228215627422,0.0112376813792115
"M1_BF_BRIG_067_K176633_P3",0.0507905885804932,0.117932792450671,0.356767015771666,0.474509603197169,0.0143587793059415
"M1_BF_BRIG_067_K176633_P4",0.0733518547394666,0.190094816317512,0.308526339824398,0.428026989118624,0.0082493676056593
"M1_BF_BRIG_067_K176634_P1",0.0776442582397006,0.262367796242697,0.296839677600755,0.363148267916848,0.0221571468782544
"M1_BF_BRIG_067_K176634_P2",0.0625551180370928,0.170528782366712,0.330327872464901,0.436588227131294,0.013179310295809
"M1_BF_BRIG_067_K176634_P3",0.0545821268764579,0.118599424116555,0.364172462504483,0.462645986502504,0.0186428296391866
"M1_BF_BRIG_067_K176634_P4",0.0737109204589729,0.206653956993628,0.308571575344785,0.411063547202615,0.00878849012877446
"M1_BF_BRIG_067_K176635_P1",0.0776013393277397,0.254471477900315,0.297149625686048,0.370777557085898,0.0204511375142908
"M1_BF_BRIG_067_K176635_P2",0.0531008358167698,0.121910007067818,0.346241603020387,0.478747554095025,0.0100782100562205
"M1_BF_BRIG_067_K176635_P3",0.0577863659864166,0.131857962037049,0.351741678879908,0.458613993096626,0.0219258796823887
